,auc,prauc,sensitivity,specificity,precision,f1,support,species,tss,fold,subset,postprocessing
528,0.8606399783833218,0.055215159268072675,0.8275862068965517,0.7709463532248343,0.9980491611392899,0.8699200816187723,29.0,Tragopogon.dubius,0.598532560121386,1,train,opth
529,0.8410851235257646,0.5455781079762096,0.8687315634218289,0.6762832521543649,0.9530095036958818,0.7911461757615603,678.0,Tragopogon.pratensis,0.5450148155761938,1,train,opth
530,0.8886535552193646,0.12870957453391496,0.9047619047619048,0.7101361573373677,0.9982985963419821,0.82991513437058,42.0,Traunsteinera.globosa,0.6148980620992726,1,train,opth
531,0.8426847453882691,0.14493221442739182,0.8909090909090909,0.6713244228432563,0.9972924187725631,0.8024691358024691,55.0,Trifolium.alpestre,0.5622335137523473,1,train,opth
532,0.9157515171108552,0.38872365869535963,0.9361702127659575,0.7787274453941121,0.9951456310679612,0.8737346830047948,188.0,Trifolium.alpinum,0.7148976581600697,1,train,opth
533,0.8980796918168021,0.1567486573656926,0.8387096774193549,0.7925211097708083,0.998101025446259,0.8835098335854765,31.0,Trifolium.arvense,0.6312307871901632,1,train,opth
534,0.8383982510597109,0.17545037528269197,0.7777777777777778,0.7581856413337339,0.9984177215189873,0.8618746798702407,18.0,Trifolium.aureum,0.5359634191115117,1,train,opth
535,0.9069105492646101,0.42354526902122486,0.8666666666666667,0.7988578680203046,0.9897798742138365,0.8841292134831461,195.0,Trifolium.badium,0.6655245346869711,1,train,opth
536,0.8782760299477624,0.32795947645308793,0.8816326530612245,0.7327530625402966,0.9874022589052998,0.8412287194670615,245.0,Trifolium.campestre,0.6143857156015211,1,train,opth
537,0.9046165294224902,0.25820932206354985,0.9682539682539683,0.719652281900031,0.9982773471145564,0.8363701966444164,126.0,Trifolium.dubium,0.6879062501539992,1,train,opth
538,0.754207377437266,0.025932778283567548,0.6071428571428571,0.7981319674600783,0.9958646616541353,0.8861013547415956,28.0,Trifolium.medium,0.4052748246029354,1,train,opth
539,0.8165459311207292,0.4260227340499019,0.7953091684434968,0.6931897150799166,0.9540889526542324,0.8029784664922519,469.0,Trifolium.montanum,0.4884988835234134,1,train,opth
540,0.8633072041806644,0.17008355084515192,0.6842105263157895,0.8617021276595744,0.9936908517350158,0.9230017906560313,57.0,Trifolium.ochroleucon,0.545912653975364,1,train,opth
541,0.774500800781095,0.7031609368793051,0.7282968853545394,0.7034820457018498,0.7592483852025836,0.7303021745269698,1509.0,Trifolium.pratense,0.4317789310563893,1,train,opth
542,0.8044488225107296,0.4464449402531421,0.7654723127035831,0.7098426637394805,0.9309021113243762,0.8054805895785758,614.0,Trifolium.repens,0.47531497644306353,1,train,opth
543,0.912976583608526,0.055621362856266794,0.9375,0.7715400780546382,0.999611046285492,0.8708912233141308,16.0,Trifolium.rubens,0.7090400780546382,1,train,opth
544,0.8843590895477689,0.06473848634582022,0.75,0.8772087451332734,0.9993176390310474,0.9342902711323764,8.0,Trifolium.scabrum,0.6272087451332733,1,train,opth
545,0.8808198380566802,0.10118247894961967,0.7894736842105263,0.8458533653846154,0.9985810571124513,0.9158939319993493,19.0,Trifolium.striatum,0.6353270495951417,1,train,opth
546,0.9090353540551668,0.44531219815486955,0.9017857142857143,0.781940441882805,0.9910714285714286,0.8741721854304636,224.0,Trifolium.thalii,0.6837261561685193,1,train,opth
547,0.9033769633507854,0.2882724376741964,0.75,0.9066830920850015,0.9915796564499831,0.9472329472329473,100.0,Trinia.glauca,0.6566830920850015,1,train,opth
548,0.8713353413654619,0.09175521957766963,0.9259259259259259,0.7018072289156626,0.9991423670668954,0.8244869072894551,27.0,Trisetum.distichophyllum,0.6277331548415885,1,train,opth
549,0.8170956240017013,0.6036724214839351,0.7613259668508288,0.7305487305487306,0.892,0.8032417829806393,905.0,Trisetum.flavescens,0.49187469739955936,1,train,opth
550,0.8945064286473277,0.2985445986524768,0.9476190476190476,0.7153331208160663,0.9951219512195122,0.8323442136498517,210.0,Trollius.europaeus,0.6629521684351138,1,train,opth
551,0.8416791604197901,0.03912132361093213,0.75,0.7526236881559221,0.9988062077198567,0.8584131326949385,12.0,Turritis.glabra,0.5026236881559221,1,train,opth
552,0.723530489037082,0.20969557496302058,0.7708333333333334,0.5392543194907548,0.993854748603352,0.6991550402829633,48.0,Tussilago.farfara,0.3100876528240881,1,train,opth
553,0.6758357300265193,0.12755509346028387,0.4878048780487805,0.7926493108728944,0.9840304182509506,0.8780322307039864,82.0,Urtica.dioica,0.28045418892167495,1,train,opth
554,0.875763999293411,0.13860203246604708,0.7647058823529411,0.8450450450450451,0.9985805535841022,0.9154196486662329,17.0,Valeriana.dioica,0.6097509273979862,1,train,opth
555,0.8462208926957345,0.0842986098872093,0.8928571428571429,0.6688761675203374,0.9986504723346828,0.8011548177553229,28.0,Valeriana.montana,0.5617333103774804,1,train,opth
556,0.8038798034861027,0.057301173568891924,0.9111111111111111,0.5645063597819503,0.9978586723768736,0.7210831721470019,45.0,Valeriana.officinalis,0.4756174708930614,1,train,opth
557,0.8905076599579452,0.1687540515146509,0.7777777777777778,0.8005407029137879,0.9985013113525665,0.8886295431810604,18.0,Valerianella.dentata,0.5783184806915656,1,train,opth
558,0.8757216651473716,0.12518256473899983,0.8928571428571429,0.70495290185354,0.9974204643164231,0.8260637350899056,56.0,Valerianella.locusta,0.5978100447106829,1,train,opth
559,0.914250256761383,0.42953077335096307,0.8740157480314961,0.7903726708074534,0.9937524404529481,0.8804705068327279,127.0,Veratrum.album,0.6643884188389495,1,train,opth
560,0.8316944247578548,0.12500686344089393,0.8072289156626506,0.7156862745098039,0.9931972789115646,0.8319088319088319,83.0,Verbascum.lychnitis,0.5229151901724545,1,train,opth
561,0.8207971231645191,0.24280242242907474,0.7,0.706323044650884,0.9987288135593221,0.8274530454625242,10.0,Verbascum.nigrum,0.40632304465088387,1,train,opth
562,0.6532451923076923,0.016392005269112907,0.8421052631578947,0.4245793269230769,0.9978813559322034,0.595699831365936,19.0,Verbascum.thapsus,0.26668459008097156,1,train,opth
