"","SR"
"CBNA_570427",31.38073333
"CBNA_570428",32.99504127
"CBNA_570431",31.74433175
"CBNA_570462",22.57723333
"CBNA_570474",26.06148413
"CBNA_570506",22.34894127
"CBNA_570511",26.06359206
"CBNA_570513",25.98518016
"CBNA_570517",23.77285635
"CBNA_570519",24.32474127
"CBNA_570520",24.62924683
"CBNA_570521",23.37748254
"CBNA_570522",25.66894921
"CBNA_570523",22.72902381
"CBNA_570525",25.08522063
"CBNA_570527",26.83867222
"CBNA_570533",31.5412754
"CBNA_570537",19.55745772
"CBNA_570540",30.00801429
"CBNA_570541",20.66895873
